"Date","Standard Major Group","Standard Submajor Group","Occupation","Occupation Code","Count"
2009-07-31,"(not recorded)","(not recorded)","(not recorded)","(not recorded)",30
2009-07-31,"Agriculture and Fishery Workers","Market Oriented Agricultural and Fishery Workers","Nursery Grower","61131",0
2009-07-31,"Clerical and Administrative Workers","Clerical and Office Support Workers","Clerical and Office Support Workers nec","561999",0
2009-07-31,"Clerical and Administrative Workers","Inquiry Clerks and Receptionists","Call or Contact Centre Team Leader","541111",0
2009-07-31,"Clerical and Administrative Workers","Inquiry Clerks and Receptionists","Medical Receptionist","542114",0
2009-07-31,"Clerical and Administrative Workers","Numerical Clerks","Accounts Clerk","551111",3
2009-07-31,"Clerical and Administrative Workers","Office Managers and Program Administrators","Contract Administrator","511111",3
2009-07-31,"Clerical and Administrative Workers","Office Managers and Program Administrators","Office Manager","512111",6
2009-07-31,"Clerical and Administrative Workers","Office Managers and Program Administrators","Practice Managers nec","512299",0
2009-07-31,"Clerical and Administrative Workers","Office Managers and Program Administrators","Program or Project Administrator","511112",6
2009-07-31,"Clerical and Administrative Workers","Other Clerical and Administrative Workers","Clerical and Administrative Workers nec","599999",0
2009-07-31,"Clerical and Administrative Workers","Personal Assistants and Secretaries","Legal Secretary","521212",0
2009-07-31,"Clerical and Administrative Workers","Personal Assistants and Secretaries","Personal Assistant","521111",3
2009-07-31,"Clerical and Administrative Workers","Personal Assistants and Secretaries","Secretary (General)","521211",3
2009-07-31,"Clerks","Customer Services Clerks","Bank Officer","42121",3
2009-07-31,"Clerks","Office Clerks","Office Secretary","41141",3
2009-07-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Community Worker","411711",0
2009-07-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Dental Technician","411213",0
2009-07-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Dental Therapist","411214",0
2009-07-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Enrolled Nurse","411411",0
2009-07-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Massage Therapist","411611",3
2009-07-31,"Community and Personal Service Workers","Hospitality Workers","Cafe Worker","431211",3
2009-07-31,"Community and Personal Service Workers","Protective Service Workers","Police Officer","441312",3
2009-07-31,"Community and Personal Service Workers","Protective Service Workers","Prison Officer","442111",3
2009-07-31,"Community and Personal Service Workers","Sports and Personal Service Workers","Other Sports Coach or Instructor","452317",0
2009-07-31,"Community and Personal Service Workers","Sports and Personal Service Workers","Sports Development Officer","452321",0
2009-07-31,"Labourers","Construction and Mining Labourers","Builder's Labourer","821111",3
2009-07-31,"Labourers","Factory Process Workers","Food and Drink Factory Workers nec","831199",0
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Accounting Manager","12224",3
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","District Sales Manager","12241",0
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","General Manager","12111",3
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Marketing Manager","12241",0
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Project Manager","12222",0
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Restaurant Manager","12265",0
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Sales and/or Marketing Manager","12241",0
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Sales Manager","12241",3
2009-07-31,"Legislators, Administrators and Managers","Corporate Managers","Works Manager","12213",0
2009-07-31,"Machinery Operators and Drivers","Machine and Stationary Plant Operators","Engineering Production Worker","712311",3
2009-07-31,"Managers","Chief Executives, General Managers and Legislators","Chief Executive or Managing Director","111111",3
2009-07-31,"Managers","Chief Executives, General Managers and Legislators","Corporate General Manager","111211",3
2009-07-31,"Managers","Farmers and Farm Managers","Dairy Cattle Farmer","121313",12
2009-07-31,"Managers","Farmers and Farm Managers","Fruit or Nut Grower","121213",0
2009-07-31,"Managers","Farmers and Farm Managers","Goat Farmer","121315",0
2009-07-31,"Managers","Farmers and Farm Managers","Mixed Crop Farmer","121216",3
2009-07-31,"Managers","Farmers and Farm Managers","Poultry Farmer","121321",3
2009-07-31,"Managers","Hospitality, Retail and Service Managers","Accommodation and Hospitality Managers nec","141999",3
2009-07-31,"Managers","Hospitality, Retail and Service Managers","Cafe or Restaurant Manager","141111",15
2009-07-31,"Managers","Hospitality, Retail and Service Managers","Conference and Event Organiser","149311",3
2009-07-31,"Managers","Hospitality, Retail and Service Managers","Customer Service Manager","149212",3
2009-07-31,"Managers","Hospitality, Retail and Service Managers","Hotel or Motel Manager","141311",3
2009-07-31,"Managers","Hospitality, Retail and Service Managers","Retail Manager (General)","142111",18
2009-07-31,"Managers","Hospitality, Retail and Service Managers","Transport Company Manager","149413",0
2009-07-31,"Managers","Hospitality, Retail and Service Managers","Travel Agency Manager","142116",3
2009-07-31,"Managers","Specialist Managers","Arts Administrator or Manager","139911",3
2009-07-31,"Managers","Specialist Managers","Construction Project Manager","133111",3
2009-07-31,"Managers","Specialist Managers","Corporate Services Manager","132111",0
2009-07-31,"Managers","Specialist Managers","Education Managers nec","134499",0
2009-07-31,"Managers","Specialist Managers","Engineering Manager","133211",3
2009-07-31,"Managers","Specialist Managers","Finance Manager","132211",6
2009-07-31,"Managers","Specialist Managers","Human Resource Manager","132311",0
2009-07-31,"Managers","Specialist Managers","ICT Managers nec","135199",6
2009-07-31,"Managers","Specialist Managers","ICT Project Manager","135112",6
2009-07-31,"Managers","Specialist Managers","Importer or Exporter","133311",3
2009-07-31,"Managers","Specialist Managers","Policy and Planning Manager","132411",0
2009-07-31,"Managers","Specialist Managers","Production Manager (Manufacturing)","133512",3
2009-07-31,"Managers","Specialist Managers","Sales and Marketing Manager","131112",9
2009-07-31,"Managers","Specialist Managers","Senior Non-commissioned Defence Force Member","139211",3
2009-07-31,"Managers","Specialist Managers","Specialist Managers nec","139999",3
2009-07-31,"Managers","Specialist Managers","Supply and Distribution Manager","133611",3
2009-07-31,"Professionals","Arts and Media Professionals","Film and Video Editor","212314",0
2009-07-31,"Professionals","Arts and Media Professionals","Photographer","211311",0
2009-07-31,"Professionals","Arts and Media Professionals","Video Producer","212318",3
2009-07-31,"Professionals","Arts and Media Professionals","Visual Arts and Crafts Professionals nec","211499",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Accountant (General)","221111",9
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Advertising Specialist","225111",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Company Secretary","221211",0
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","External Auditor","221213",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Finance Broker","222112",0
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Financial Investment Adviser","222311",0
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Human Resource Adviser","223111",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","ICT Account Manager","225211",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","ICT Business Development Manager","225212",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","ICT Trainer","223211",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Internal Auditor","221214",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Librarian","224611",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Management Accountant","221112",0
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Management Consultant","224711",0
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Market Research Analyst","225112",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Marketing Specialist","225113",9
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Organisation and Methods Analyst","224712",0
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Public Relations Professional","225311",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Records Manager","224214",0
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Recruitment Consultant","223112",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Sales Representative (Medical and Pharmaceutical Products)","225412",0
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Taxation Accountant","221113",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Technical Sales Representatives nec","225499",3
2009-07-31,"Professionals","Business, Human Resource and Marketing Professionals","Training and Development Professional","223311",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Aeronautical Engineer","233911",0
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Agricultural Scientist","234112",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Biotechnologist","234514",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Chemical Engineer","233111",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Civil Engineer","233211",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Electrical Engineer","233311",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Engineering Professionals nec","233999",0
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Engineering Technologist","233914",0
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Environmental Consultant","234312",0
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Environmental Research Scientist","234313",6
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Environmental Scientists nec","234399",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Food Technologist","234212",6
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Geotechnical Engineer","233212",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Graphic Designer","232411",6
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Illustrator","232412",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Landscape Architect","232112",0
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Life Scientist (General)","234511",0
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Life Scientists nec","234599",0
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Mechanical Engineer","233512",6
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Medical Laboratory Scientist","234611",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Microbiologist","234517",0
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Mining Engineer (excluding Petroleum)","233611",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Multimedia Designer","232413",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Physicist","234914",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Production or Plant Engineer","233513",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Quantity Surveyor","233213",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Ship's Engineer","231212",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Structural Engineer","233214",3
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Surveyor","232212",0
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Urban and Regional Planner","232611",0
2009-07-31,"Professionals","Design, Engineering, Science and Transport Professionals","Veterinarian","234711",0
2009-07-31,"Professionals","Education Professionals","Art Teacher (Private Tuition)","249211",0
2009-07-31,"Professionals","Education Professionals","Early Childhood (Pre-primary School) Teacher","241111",0
2009-07-31,"Professionals","Education Professionals","Middle School Teacher (Aus) / Intermediate School Teacher (NZ)","241311",3
2009-07-31,"Professionals","Education Professionals","Primary School Teacher","241213",6
2009-07-31,"Professionals","Education Professionals","Private Tutors and Teachers nec","249299",0
2009-07-31,"Professionals","Education Professionals","Secondary School Teacher","241411",12
2009-07-31,"Professionals","Education Professionals","Special Needs Teacher","241511",0
2009-07-31,"Professionals","Education Professionals","Teacher of English to Speakers of Other Languages","249311",3
2009-07-31,"Professionals","Education Professionals","University Lecturer","242111",15
2009-07-31,"Professionals","Education Professionals","University Tutor","242112",0
2009-07-31,"Professionals","Health Professionals","Acupuncturist","252211",0
2009-07-31,"Professionals","Health Professionals","Anaesthetist","253211",3
2009-07-31,"Professionals","Health Professionals","Audiologist","252711",3
2009-07-31,"Professionals","Health Professionals","Dentist","252312",3
2009-07-31,"Professionals","Health Professionals","Diagnostic and Interventional Radiologist","253917",3
2009-07-31,"Professionals","Health Professionals","Environmental Health Officer","251311",0
2009-07-31,"Professionals","Health Professionals","General Practitioner","253111",0
2009-07-31,"Professionals","Health Professionals","Hospital Pharmacist","251511",3
2009-07-31,"Professionals","Health Professionals","Medical Diagnostic Radiographer","251211",0
2009-07-31,"Professionals","Health Professionals","Medical Practitioners nec","253999",0
2009-07-31,"Professionals","Health Professionals","Midwife","254111",3
2009-07-31,"Professionals","Health Professionals","Nurse Practitioner","254411",0
2009-07-31,"Professionals","Health Professionals","Occupational Therapist","252411",3
2009-07-31,"Professionals","Health Professionals","Osteopath","252112",0
2009-07-31,"Professionals","Health Professionals","Paediatrician","253321",3
2009-07-31,"Professionals","Health Professionals","Physiotherapist","252511",3
2009-07-31,"Professionals","Health Professionals","Registered Nurse (Aged Care)","254412",6
2009-07-31,"Professionals","Health Professionals","Registered Nurse (Child and Family Health)","254413",3
2009-07-31,"Professionals","Health Professionals","Registered Nurse (Critical Care and Emergency)","254415",3
2009-07-31,"Professionals","Health Professionals","Registered Nurse (Medical Practice)","254421",0
2009-07-31,"Professionals","Health Professionals","Registered Nurse (Medical)","254418",30
2009-07-31,"Professionals","Health Professionals","Registered Nurse (Perioperative)","254423",3
2009-07-31,"Professionals","Health Professionals","Registered Nurse (Surgical)","254424",3
2009-07-31,"Professionals","Health Professionals","Registered Nurses nec","254499",3
2009-07-31,"Professionals","Health Professionals","Resident Medical Officer","253112",6
2009-07-31,"Professionals","Health Professionals","Retail Pharmacist","251513",0
2009-07-31,"Professionals","Health Professionals","Speech Pathologist (Aus) / Speech Language Therapist (NZ)","252712",0
2009-07-31,"Professionals","Health Professionals","Surgeon (General)","253511",0
2009-07-31,"Professionals","Health Professionals","Urologist","253518",0
2009-07-31,"Professionals","ICT Professionals","Analyst Programmer","261311",6
2009-07-31,"Professionals","ICT Professionals","Computer Network and Systems Engineer","263111",3
2009-07-31,"Professionals","ICT Professionals","Database Administrator","262111",3
2009-07-31,"Professionals","ICT Professionals","Developer Programmer","261312",6
2009-07-31,"Professionals","ICT Professionals","ICT Business Analyst","261111",6
2009-07-31,"Professionals","ICT Professionals","ICT Support Engineer","263212",3
2009-07-31,"Professionals","ICT Professionals","ICT Systems Test Engineer","263213",0
2009-07-31,"Professionals","ICT Professionals","Software and Applications Programmers nec","261399",3
2009-07-31,"Professionals","ICT Professionals","Software Engineer","261313",9
2009-07-31,"Professionals","ICT Professionals","Systems Administrator","262113",3
2009-07-31,"Professionals","ICT Professionals","Systems Analyst","261112",9
2009-07-31,"Professionals","ICT Professionals","Telecommunications Engineer","263311",3
2009-07-31,"Professionals","ICT Professionals","Telecommunications Network Engineer","263312",0
2009-07-31,"Professionals","ICT Professionals","Web Developer","261212",3
2009-07-31,"Professionals","Legal, Social and Welfare Professionals","Clinical Psychologist","272311",3
2009-07-31,"Professionals","Legal, Social and Welfare Professionals","Minister of Religion","272211",6
2009-07-31,"Professionals","Legal, Social and Welfare Professionals","Rehabilitation Counsellor","272114",3
2009-07-31,"Professionals","Legal, Social and Welfare Professionals","Social Worker","272511",6
2009-07-31,"Professionals","Legal, Social and Welfare Professionals","Welfare Worker","272613",0
2009-07-31,"Professionals","Life Science and Health Professionals","Community Pharmacist","22242",0
2009-07-31,"Professionals","Life Science and Health Professionals","Dentist","22221",3
2009-07-31,"Professionals","Life Science and Health Professionals","Health Service Pharmacist","22241",3
2009-07-31,"Professionals","Other Professionals","Accountant","24111",3
2009-07-31,"Professionals","Other Professionals","Company Accountant","24111",0
2009-07-31,"Professionals","Other Professionals","Financial Analyst","24133",3
2009-07-31,"Professionals","Physical, Mathematical and Engineering Science Professionals","Computer Applications Engineer","21312",3
2009-07-31,"Professionals","Physical, Mathematical and Engineering Science Professionals","Computer Systems Analyst","21311",3
2009-07-31,"Professionals","Physical, Mathematical and Engineering Science Professionals","Electrical Engineer","21431",0
2009-07-31,"Professionals","Physical, Mathematical and Engineering Science Professionals","Electronic and Telecommunications Engineer","21441",0
2009-07-31,"Professionals","Physical, Mathematical and Engineering Science Professionals","Electronics Engineer","21441",0
2009-07-31,"Professionals","Physical, Mathematical and Engineering Science Professionals","Housing Architect","21411",0
2009-07-31,"Professionals","Physical, Mathematical and Engineering Science Professionals","Software Engineer","21312",3
2009-07-31,"Professionals","Physical, Mathematical and Engineering Science Professionals","Systems Analyst","21311",0
2009-07-31,"Professionals","Physical, Mathematical and Engineering Science Professionals","Systems Software Engineer","21312",3
2009-07-31,"Professionals","Teaching Professionals","University Professor","23111",0
2009-07-31,"Response Outside Scope/Not Stated","Response Outside Scope/Not Stated","Not Stated","99999",18
2009-07-31,"Responses outside of the current definition of the labour force","Responses outside of the current definition of the labour force","Student","999910",18
2009-07-31,"Responses outside of the current definition of the labour force","Responses outside of the current definition of the labour force","Unemployed","999970",3
2009-07-31,"Sales Workers","Sales Assistants and Salespersons","Retail Supervisor","621511",3
2009-07-31,"Sales Workers","Sales Assistants and Salespersons","Sales Assistant (General)","621111",0
2009-07-31,"Sales Workers","Sales Representatives and Agents","Sales Representatives nec","611399",3
2009-07-31,"Technicians and Associate Professionals","Other Associate Professionals","Computer Consultant","33152",3
2009-07-31,"Technicians and Associate Professionals","Other Associate Professionals","Physical Training Instructor","33692",0
2009-07-31,"Technicians and Associate Professionals","Physical Science and Engineering Associate Professionals","Computer Services Technician","31142",0
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Aircraft Maintenance Engineer (Avionics)","323111",0
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Automotive Electrician","321111",3
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Diesel Motor Mechanic","321212",6
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Fitter-Welder","323213",9
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Fitter (General)","323211",3
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Fitter and Turner","323212",9
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Metal Fabricator","322311",0
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Metal Fitters and Machinists nec","323299",0
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Metal Machinist (First Class)","323214",3
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Motor Mechanic (General)","321211",21
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Motorcycle Mechanic","321213",0
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Panelbeater","324111",3
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Sheetmetal Trades Worker","322211",3
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Vehicle Body Builder","324211",0
2009-07-31,"Technicians and Trades Workers","Automotive and Engineering Trades Workers","Welder (First Class) (Aus) / Welder (NZ)","322313",3
2009-07-31,"Technicians and Trades Workers","Construction Trades Workers","Bricklayer","331111",3
2009-07-31,"Technicians and Trades Workers","Construction Trades Workers","Carpenter","331212",9
2009-07-31,"Technicians and Trades Workers","Construction Trades Workers","Carpenter and Joiner","331211",6
2009-07-31,"Technicians and Trades Workers","Construction Trades Workers","Fibrous Plasterer","333211",0
2009-07-31,"Technicians and Trades Workers","Construction Trades Workers","Gasfitter","334114",0
2009-07-31,"Technicians and Trades Workers","Construction Trades Workers","Glazier","333111",3
2009-07-31,"Technicians and Trades Workers","Construction Trades Workers","Joiner","331213",3
2009-07-31,"Technicians and Trades Workers","Construction Trades Workers","Painting Trades Worker","332211",0
2009-07-31,"Technicians and Trades Workers","Construction Trades Workers","Plumber (General)","334111",3
2009-07-31,"Technicians and Trades Workers","Construction Trades Workers","Solid Plasterer","333212",0
2009-07-31,"Technicians and Trades Workers","Construction Trades Workers","Wall and Floor Tiler","333411",3
2009-07-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Airconditioning and Refrigeration Mechanic","342111",6
2009-07-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Electrical Linesworker (Aus) / Electrical Line Mechanic (NZ)","342211",3
2009-07-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Electrician (General)","341111",6
2009-07-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Electronic Equipment Trades Worker","342313",0
2009-07-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Telecommunications Linesworker (Aus) / Telecommunications Line Mechanic (NZ)","342413",0
2009-07-31,"Technicians and Trades Workers","Electrotechnology and Telecommunications Trades Workers","Telecommunications Technician","342414",21
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Agricultural Technician","311111",0
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Architectural Draftsperson","312111",3
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Building Inspector","312113",0
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Chemistry Technician","311411",3
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Civil Engineering Draftsperson","312211",0
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Civil Engineering Technician","312212",3
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Earth Science Technician","311412",3
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Electrical Engineering Technician","312312",0
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Electronic Engineering Technician","312412",0
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Hardware Technician","313111",0
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","ICT Customer Support Officer","313112",3
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","ICT Support Technicians nec","313199",15
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Life Science Technician","311413",0
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Mechanical Engineering Draftsperson","312511",3
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Mechanical Engineering Technician","312512",3
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Medical Laboratory Technician","311213",3
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Medical Technicians nec","311299",0
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Mine Deputy","312913",0
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Pharmacy Technician","311215",3
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Radiocommunications Technician","313211",0
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Science Technicians nec","311499",0
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Surveying or Spatial Science Technician","312116",3
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Telecommunications Field Engineer","313212",0
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Telecommunications Network Planner","313213",3
2009-07-31,"Technicians and Trades Workers","Engineering, ICT and Science Technicians","Web Administrator","313113",3
2009-07-31,"Technicians and Trades Workers","Food Trades Workers","Baker","351111",12
2009-07-31,"Technicians and Trades Workers","Food Trades Workers","Chef","351311",30
2009-07-31,"Technicians and Trades Workers","Food Trades Workers","Cook","351411",9
2009-07-31,"Technicians and Trades Workers","Food Trades Workers","Pastrycook","351112",3
2009-07-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Cabinetmaker","394111",3
2009-07-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Clothing Trades Workers nec","393299",0
2009-07-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Diver","399911",0
2009-07-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Graphic Pre-press Trades Worker","392211",0
2009-07-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Hairdresser","391111",3
2009-07-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Optical Dispenser (Aus) / Dispensing Optician (NZ)","399913",0
2009-07-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Optical Mechanic","399914",0
2009-07-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Printing Machinist","392311",3
2009-07-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Screen Printer","392112",3
2009-07-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Small Offset Printer","392312",3
2009-07-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Technicians and Trades Workers nec","399999",3
2009-07-31,"Technicians and Trades Workers","Other Technicians and Trades Workers","Upholsterer","393311",0
2009-07-31,"Technicians and Trades Workers","Skilled Animal and Horticultural Workers","Arborist","362212",0
2009-07-31,"Trades Workers","Building Trades Workers","Carpenter Maintenance","71121",0
2009-07-31,"Trades Workers","Other Craft and Related Trades Workers","Cabinet Maker","74211",0
2009-08-31,"(not recorded)","(not recorded)","(not recorded)","(not recorded)",33
2009-08-31,"Agriculture and Fishery Workers","Market Oriented Agricultural and Fishery Workers","Nursery Grower","61131",0
2009-08-31,"Clerical and Administrative Workers","Clerical and Office Support Workers","Clerical and Office Support Workers nec","561999",0
2009-08-31,"Clerical and Administrative Workers","Inquiry Clerks and Receptionists","Call or Contact Centre Team Leader","541111",0
2009-08-31,"Clerical and Administrative Workers","Numerical Clerks","Accounts Clerk","551111",3
2009-08-31,"Clerical and Administrative Workers","Numerical Clerks","Bookkeeper","551211",3
2009-08-31,"Clerical and Administrative Workers","Numerical Clerks","Credit or Loans Officer (Aus) / Finance Clerk (NZ)","552211",0
2009-08-31,"Clerical and Administrative Workers","Office Managers and Program Administrators","Office Manager","512111",9
2009-08-31,"Clerical and Administrative Workers","Office Managers and Program Administrators","Program or Project Administrator","511112",3
2009-08-31,"Clerical and Administrative Workers","Other Clerical and Administrative Workers","Insurance Risk Surveyor","599613",0
2009-08-31,"Clerical and Administrative Workers","Other Clerical and Administrative Workers","Purchasing Officer","591113",3
2009-08-31,"Clerical and Administrative Workers","Personal Assistants and Secretaries","Legal Secretary","521212",3
2009-08-31,"Clerical and Administrative Workers","Personal Assistants and Secretaries","Personal Assistant","521111",3
2009-08-31,"Clerical and Administrative Workers","Personal Assistants and Secretaries","Secretary (General)","521211",0
2009-08-31,"Clerks","Customer Services Clerks","Information Clerk and Other Receptionist","42213",3
2009-08-31,"Clerks","Office Clerks","Coding Clerk","41121",0
2009-08-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Community Worker","411711",3
2009-08-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Dental Technician","411213",0
2009-08-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Enrolled Nurse","411411",3
2009-08-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Family Support Worker","411713",0
2009-08-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Massage Therapist","411611",0
2009-08-31,"Community and Personal Service Workers","Health and Welfare Support Workers","Residential Care Officer","411715",0
2009-08-31,"Community and Personal Service Workers","Hospitality Workers","Hotel Service Manager","431411",3
2009-08-31,"Community and Personal Service Workers","Protective Service Workers","Prison Officer","442111",3
2009-08-31,"Community and Personal Service Workers","Sports and Personal Service Workers","Travel Consultant","451612",3
2009-08-31,"Labourers","Farm, Forestry and Garden Workers","Dairy Cattle Farm Worker","841512",0
